"ID_aux";"CODIGO_UNIV";"VIA";"CODIGO";"PREFERENCIA";"PTJE_POND";"TIPO_MATRICULA"
"id_2504925870489";24;1;2448;2;724,05;1
"id_2381923978124";22;1;2221;1;719,3;1
"id_2359923375993";22;1;2220;1;597,65;1
"id_2383923378387";22;1;2258;1;656,95;1
"id_4705947970551";22;1;2275;1;489,9;1
"id_2899928079906";12;1;1221;1;731,8;1
"id_2107921270762";15;1;1574;2;689,1;1
"id_2956929275643";22;1;2256;1;626,2;1
"id_2125921272542";16;1;1691;2;756,25;1
"id_2137921273752";22;1;2256;1;618,1;1
"id_2390923379001";22;1;2275;1;568;1
"id_2379923377997";13;1;1307;1;605,3;1
"id_3509935070921";22;1;2220;1;548,35;1
"id_2354923375433";12;1;1239;1;774,4;1
"id_2357923175782";19;1;1976;1;635,1;1
"id_2010920271070";12;1;1217;1;742,6;1
"id_4366943076640";22;1;2277;1;584,5;1
"id_2126921272631";11;1;1161;1;674,65;1
"id_2373923377397";22;1;2262;1;501,7;1
"id_2133921273392";22;1;2208;1;482,2;1
"id_2388923378880";22;1;2233;1;566,85;1
"id_2362923276222";29;1;2904;1;576,05;1
"id_2357923375777";11;1;1145;1;725,1;1
"id_2392923379220";22;1;2270;9;646,55;2
"id_2390923379075";16;1;1666;1;644,7;1
"id_2241922874192";14;1;1440;1;660,4;1
"id_2389923378987";22;1;2256;1;670,1;1
"id_2390923379072";22;1;2264;1;505,95;1
"id_3835938973535";14;1;1415;1;665,25;1
"id_2359923375947";22;1;2220;7;614,4;1
"id_2392923379210";22;1;2258;9;669,95;2
"id_2016920371602";22;1;2207;9;466,6;2
"id_2362923276248";22;1;2258;2;562,55;1
"id_4634946173463";22;1;2279;1;532,4;1
"id_2356923375611";22;1;2266;2;555,95;1
"id_2266922476676";22;1;2233;9;531,65;2
"id_2394923379484";14;1;1463;2;649,9;1
"id_2251922475193";22;1;2280;1;543,6;1
"id_4687946078752";14;1;1464;1;601,35;1
"id_2605926270546";19;1;1965;3;549;1
