"ID_aux";"CODIGO_UNIV";"CODIGO";"VIA";"PREFERENCIA";"PTJE_POND";"POND_ANYO_ACAD";"TIPO_MATRICULA"
"id_9563595676336";"18";18072;1;1;679,8;1;1
"id_9563595676302";"30";30095;1;1;697,45;1;1
"id_9563595676300";"29";29028;1;1;628,3;1;1
"id_9560595676099";"16";16067;1;2;603,3;1;1
"id_9560595676093";"18";18046;1;1;545,4;1;1
"id_9560595676059";"30";30085;1;3;537,5;1;1
"id_9560595676051";"22";22070;1;1;513,4;1;1
"id_9560595676079";"14";14060;3;1;783,416;1;1
"id_9560595676012";"50";50808;1;3;539,6;1;1
"id_9560595676047";"50";50127;1;2;656,3;1;1
"id_9560595676040";"16";16036;1;2;657,2;1;1
"id_9560595676022";"41";41031;1;2;516,8;1;1
"id_9560595676038";"12";12049;1;1;664,25;1;1
"id_9560595676037";"55";55021;1;2;532,7;1;1
"id_9560595676003";"18";18094;1;1;637,4;1;1
"id_9560595676065";"17";17835;1;1;713,5;1;1
"id_9566595676688";"16";16001;1;3;621,2;1;1
"id_9566595676685";"36";36053;1;1;556,1;1;1
"id_9566595676698";"12";12037;1;1;706,6;1;1
"id_9566595676692";"35";35023;1;1;548,05;1;1
"id_9566595676651";"26";26084;1;1;615,8;1;1
"id_9566595676648";"35";35062;1;2;597,05;1;1
"id_9566595676640";"13";13074;1;2;694,55;1;1
"id_9566595676646";"41";41129;1;3;583,7;1;1
"id_9566595676627";"16";16036;1;1;723,9;1;1
"id_9566595676624";"15";15300;2;2;638,3;1;4
"id_9566595676633";"21";21041;1;1;565,4;1;1
"id_9566595676630";"40";40040;1;1;497,7;1;1
"id_9566595676668";"22";22057;1;1;665,2;1;1
"id_9566595676661";"49";49203;1;1;543,1;1;1
"id_9566595676663";"29";29010;1;1;566,2;1;1
"id_9788597878887";"22";22069;1;2;549,55;1;1
"id_9788597878880";"18";18068;1;1;551,5;1;1
"id_9788597878886";"11";11525;2;1;691,8;1;4
"id_9788597878854";"49";49022;1;1;548;1;1
"id_9788597878850";"38";38163;1;1;620;1;1
"id_9788597878872";"16";16042;1;1;737,2;1;1
"id_9788597878845";"12";12055;1;1;731,7;1;1
"id_9788597878846";"55";55061;1;1;556,2;1;1
"id_9788597878820";"49";49211;1;1;534;1;1
"id_9788597878826";"34";34041;1;1;642,05;1;1
